date,SPOSTMIN,Ride
2015-06-21,26.818181818181817,Expedition Everest
2015-06-22,25.64,Expedition Everest
2015-06-23,31.298076923076923,Expedition Everest
2015-06-24,43.671875,Expedition Everest
2015-06-25,31.875,Expedition Everest
2015-06-26,27.88617886178862,Expedition Everest
2015-06-27,30.576923076923077,Expedition Everest
2015-06-28,28.4765625,Expedition Everest
2015-06-29,29.702380952380953,Expedition Everest
2015-06-30,31.576576576576578,Expedition Everest
2015-07-01,29.132653061224488,Expedition Everest
2015-07-02,35.10989010989011,Expedition Everest
2015-07-03,32.07964601769911,Expedition Everest
2015-07-04,20.321100917431192,Expedition Everest
2015-07-05,22.33644859813084,Expedition Everest
2015-07-06,23.529411764705884,Expedition Everest
2015-07-07,26.061946902654867,Expedition Everest
2015-07-08,35.94488188976378,Expedition Everest
2015-07-09,35.324074074074076,Expedition Everest
2015-07-10,21.80952380952381,Expedition Everest
2015-07-11,23.602150537634408,Expedition Everest
2015-07-12,24.409448818897637,Expedition Everest
2015-07-13,26.636363636363637,Expedition Everest
2015-07-14,35.04761904761905,Expedition Everest
2015-07-15,40.38461538461539,Expedition Everest
2015-07-16,32.17213114754098,Expedition Everest
2015-07-17,26.893203883495147,Expedition Everest
2015-07-18,33.46590909090909,Expedition Everest
2015-07-19,33.52459016393443,Expedition Everest
2015-07-20,33.92857142857143,Expedition Everest
2015-07-21,34.30434782608695,Expedition Everest
2015-07-22,36.544117647058826,Expedition Everest
2015-07-23,36.611570247933884,Expedition Everest
2015-07-24,27.198275862068964,Expedition Everest
2015-07-25,26.35514018691589,Expedition Everest
2015-07-26,30.371900826446282,Expedition Everest
2015-07-27,30.047169811320753,Expedition Everest
2015-07-28,19.0,Expedition Everest
2015-07-29,,Expedition Everest
2015-07-30,40.0,Expedition Everest
2015-07-31,,Expedition Everest
2015-08-01,31.666666666666668,Expedition Everest
2015-08-02,26.701030927835053,Expedition Everest
2015-08-03,22.391304347826086,Expedition Everest
2015-08-04,40.526315789473685,Expedition Everest
2015-08-05,33.58585858585859,Expedition Everest
2015-08-06,35.9375,Expedition Everest
2015-08-07,34.89010989010989,Expedition Everest
2015-08-08,32.12643678160919,Expedition Everest
2015-08-09,29.130434782608695,Expedition Everest
2015-08-10,28.6734693877551,Expedition Everest
2015-08-11,23.7012987012987,Expedition Everest
2015-08-12,43.98936170212766,Expedition Everest
2015-08-13,26.956521739130434,Expedition Everest
2015-08-14,27.804878048780488,Expedition Everest
2015-08-15,33.18840579710145,Expedition Everest
2015-08-16,40.48913043478261,Expedition Everest
2015-08-17,35.76923076923077,Expedition Everest
2015-08-18,31.302083333333332,Expedition Everest
2015-08-19,32.239583333333336,Expedition Everest
2015-08-20,35.857142857142854,Expedition Everest
2015-08-21,22.5,Expedition Everest
2015-08-22,,Expedition Everest
2015-08-23,30.555555555555557,Expedition Everest
2015-08-24,29.545454545454547,Expedition Everest
2015-08-25,18.430232558139537,Expedition Everest
2015-08-26,20.36144578313253,Expedition Everest
2015-08-27,21.574074074074073,Expedition Everest
2015-08-28,16.35593220338983,Expedition Everest
2015-08-29,25.82191780821918,Expedition Everest
2015-08-30,21.235955056179776,Expedition Everest
2015-08-31,12.972972972972974,Expedition Everest
2015-09-01,11.558441558441558,Expedition Everest
2015-09-02,15.271739130434783,Expedition Everest
2015-09-03,10.460526315789474,Expedition Everest
2015-09-04,14.838709677419354,Expedition Everest
2015-09-05,31.796875,Expedition Everest
2015-09-06,36.39784946236559,Expedition Everest
2015-09-07,27.727272727272727,Expedition Everest
2015-09-08,14.935897435897436,Expedition Everest
2015-09-09,18.035714285714285,Expedition Everest
2015-09-10,17.214285714285715,Expedition Everest
2015-09-11,21.835443037974684,Expedition Everest
2015-09-12,32.53164556962025,Expedition Everest
2015-09-13,26.794871794871796,Expedition Everest
2015-09-14,23.352272727272727,Expedition Everest
2015-09-15,25.56338028169014,Expedition Everest
2015-09-16,23.50574712643678,Expedition Everest
2015-09-17,17.86764705882353,Expedition Everest
2015-09-18,21.470588235294116,Expedition Everest
2015-09-19,26.038961038961038,Expedition Everest
2015-09-20,28.354430379746834,Expedition Everest
2015-09-21,18.142857142857142,Expedition Everest
2015-09-22,23.31081081081081,Expedition Everest
2015-09-23,21.162790697674417,Expedition Everest
2015-09-24,17.962962962962962,Expedition Everest
2015-09-25,19.25287356321839,Expedition Everest
2015-09-26,21.625,Expedition Everest
2015-09-27,21.73913043478261,Expedition Everest
2015-09-28,19.661016949152543,Expedition Everest
2015-09-29,11.484375,Expedition Everest
2015-09-30,16.883116883116884,Expedition Everest
2015-10-01,18.38235294117647,Expedition Everest
2015-10-02,18.021978021978022,Expedition Everest
2015-10-03,31.686046511627907,Expedition Everest
2015-10-04,27.925531914893618,Expedition Everest
2015-10-05,19.58823529411765,Expedition Everest
2015-10-06,24.651162790697676,Expedition Everest
2015-10-07,20.333333333333332,Expedition Everest
2015-10-08,26.488095238095237,Expedition Everest
2015-10-09,27.717391304347824,Expedition Everest
2015-10-10,31.5,Expedition Everest
2015-10-11,36.141304347826086,Expedition Everest
2015-10-12,29.642857142857142,Expedition Everest
2015-10-13,25.388349514563107,Expedition Everest
2015-10-14,23.939393939393938,Expedition Everest
2015-10-15,25.0,Expedition Everest
2015-10-16,28.473684210526315,Expedition Everest
2015-10-17,31.93069306930693,Expedition Everest
2015-10-18,29.892473118279568,Expedition Everest
2015-10-19,24.10958904109589,Expedition Everest
2015-10-20,21.329113924050635,Expedition Everest
2015-10-21,15.617977528089888,Expedition Everest
2015-10-22,21.231884057971016,Expedition Everest
2015-10-23,22.032967032967033,Expedition Everest
2015-10-24,27.38372093023256,Expedition Everest
2015-10-25,23.98876404494382,Expedition Everest
2015-10-26,22.2972972972973,Expedition Everest
2015-10-27,18.820224719101123,Expedition Everest
2015-10-28,16.428571428571427,Expedition Everest
2015-10-29,20.853658536585368,Expedition Everest
2015-10-30,19.693877551020407,Expedition Everest
2015-10-31,18.106796116504853,Expedition Everest
2015-11-01,22.34375,Expedition Everest
2015-11-02,14.285714285714286,Expedition Everest
2015-11-03,15.555555555555555,Expedition Everest
2015-11-04,14.567901234567902,Expedition Everest
2015-11-05,20.56179775280899,Expedition Everest
2015-11-06,19.88888888888889,Expedition Everest
2015-11-07,21.650943396226417,Expedition Everest
2015-11-08,19.51086956521739,Expedition Everest
2015-11-09,17.688172043010752,Expedition Everest
2015-11-10,19.270833333333332,Expedition Everest
2015-11-11,21.195652173913043,Expedition Everest
2015-11-12,20.50632911392405,Expedition Everest
2015-11-13,20.103092783505154,Expedition Everest
2015-11-14,27.32456140350877,Expedition Everest
2015-11-15,23.697916666666668,Expedition Everest
2015-11-16,18.571428571428573,Expedition Everest
2015-11-17,17.16867469879518,Expedition Everest
2015-11-18,12.906976744186046,Expedition Everest
2015-11-19,16.056338028169016,Expedition Everest
2015-11-20,20.652173913043477,Expedition Everest
2015-11-21,32.02020202020202,Expedition Everest
2015-11-22,24.53271028037383,Expedition Everest
2015-11-23,55.94736842105263,Expedition Everest
2015-11-24,47.78350515463917,Expedition Everest
2015-11-25,44.310344827586206,Expedition Everest
2015-11-26,35.14563106796116,Expedition Everest
2015-11-27,40.094339622641506,Expedition Everest
2015-11-28,36.15384615384615,Expedition Everest
2015-11-29,22.794117647058822,Expedition Everest
2015-11-30,19.72972972972973,Expedition Everest
2015-12-01,20.0,Expedition Everest
2015-12-02,17.5609756097561,Expedition Everest
2015-12-03,20.662650602409638,Expedition Everest
2015-12-04,25.39325842696629,Expedition Everest
2015-12-05,27.474747474747474,Expedition Everest
2015-12-06,26.020408163265305,Expedition Everest
2015-12-07,22.261904761904763,Expedition Everest
2015-12-08,22.329545454545453,Expedition Everest
2015-12-09,20.3,Expedition Everest
2015-12-10,22.53012048192771,Expedition Everest
2015-12-11,23.77906976744186,Expedition Everest
2015-12-12,34.662921348314605,Expedition Everest
2015-12-13,28.010752688172044,Expedition Everest
2015-12-14,16.835443037974684,Expedition Everest
2015-12-15,18.985507246376812,Expedition Everest
2015-12-16,18.23170731707317,Expedition Everest
2015-12-17,27.59493670886076,Expedition Everest
2015-12-18,20.348837209302324,Expedition Everest
2015-12-19,44.1578947368421,Expedition Everest
2015-12-20,44.11214953271028,Expedition Everest
2015-12-21,40.61946902654867,Expedition Everest
2015-12-22,45.80357142857143,Expedition Everest
2015-12-23,46.26315789473684,Expedition Everest
2015-12-24,28.988095238095237,Expedition Everest
2015-12-25,26.01851851851852,Expedition Everest
2015-12-26,27.8125,Expedition Everest
2015-12-27,49.69298245614035,Expedition Everest
2015-12-28,49.34426229508197,Expedition Everest
2015-12-29,62.075471698113205,Expedition Everest
2015-12-30,53.90756302521008,Expedition Everest
2015-12-31,32.723880597014926,Expedition Everest
2016-01-01,40.0,Expedition Everest
2016-01-02,53.30275229357798,Expedition Everest
2016-01-03,21.11111111111111,Expedition Everest
2016-01-04,41.81372549019608,Expedition Everest
2016-01-05,34.53333333333333,Expedition Everest
2016-01-06,26.049382716049383,Expedition Everest
2016-01-07,30.632183908045977,Expedition Everest
2016-01-08,21.0,Expedition Everest
2016-01-09,38.35443037974684,Expedition Everest
2016-01-10,25.0,Expedition Everest
2016-01-11,23.680555555555557,Expedition Everest
2016-01-12,25.8,Expedition Everest
2016-01-13,15.446428571428571,Expedition Everest
