Date,Predicted Line Time
2015-07-12,61.172413793103445
2015-07-13,66.95121951219512
2015-07-14,59.492753623188406
2015-07-15,44.0
2015-07-16,76.06617647058823
2015-07-17,80.11538461538461
2015-07-18,55.90625
2015-07-19,52.908496732026144
2015-07-20,70.45714285714286
2015-07-21,62.5177304964539
2015-07-22,64.03973509933775
2015-07-23,102.61538461538461
2015-07-24,61.93103448275862
2015-07-25,55.503144654088054
2015-07-26,53.522012578616355
2015-07-27,74.06432748538012
2015-07-28,43.75
2015-07-29,96.25
2015-07-30,86.66666666666667
2015-07-31,60.0
2015-08-01,
2015-08-02,50.32258064516129
2015-08-03,70.11194029850746
2015-08-04,59.310344827586206
2015-08-05,59.598214285714285
2015-08-06,63.333333333333336
2015-08-07,54.525862068965516
2015-08-08,48.38028169014085
