date,SACTMIN,Ride
2015-08-01,33.0,Rock N Rollercoaster
2015-08-02,42.0,Rock N Rollercoaster
2015-08-03,51.5,Rock N Rollercoaster
2015-08-04,26.333333333333332,Rock N Rollercoaster
2015-08-05,26.0,Rock N Rollercoaster
2015-08-06,60.0,Rock N Rollercoaster
2015-08-07,,Rock N Rollercoaster
2015-08-08,14.5,Rock N Rollercoaster
2015-08-09,42.0,Rock N Rollercoaster
2015-08-10,,Rock N Rollercoaster
2015-08-11,41.5,Rock N Rollercoaster
2015-08-12,13.0,Rock N Rollercoaster
2015-08-13,25.5,Rock N Rollercoaster
2015-08-14,29.25,Rock N Rollercoaster
2015-08-15,36.0,Rock N Rollercoaster
2015-08-16,27.375,Rock N Rollercoaster
2015-08-17,,Rock N Rollercoaster
2015-08-18,,Rock N Rollercoaster
2015-08-19,58.0,Rock N Rollercoaster
2015-08-20,25.0,Rock N Rollercoaster
2015-08-21,29.5,Rock N Rollercoaster
2015-08-22,35.25,Rock N Rollercoaster
2015-08-23,30.0,Rock N Rollercoaster
2015-08-24,23.4,Rock N Rollercoaster
2015-08-25,18.6,Rock N Rollercoaster
2015-08-26,24.25,Rock N Rollercoaster
2015-08-27,22.0,Rock N Rollercoaster
2015-08-28,14.5,Rock N Rollercoaster
2015-08-29,9.333333333333334,Rock N Rollercoaster
2015-08-30,12.666666666666666,Rock N Rollercoaster
2015-08-31,7.75,Rock N Rollercoaster
2015-09-01,17.0,Rock N Rollercoaster
2015-09-02,15.5,Rock N Rollercoaster
2015-09-03,18.333333333333332,Rock N Rollercoaster
2015-09-04,18.0,Rock N Rollercoaster
2015-09-05,13.0,Rock N Rollercoaster
2015-09-06,,Rock N Rollercoaster
2015-09-07,24.9,Rock N Rollercoaster
2015-09-08,18.0,Rock N Rollercoaster
2015-09-09,15.75,Rock N Rollercoaster
2015-09-10,23.0,Rock N Rollercoaster
2015-09-11,20.0,Rock N Rollercoaster
2015-09-12,15.666666666666666,Rock N Rollercoaster
2015-09-13,16.5,Rock N Rollercoaster
2015-09-14,19.571428571428573,Rock N Rollercoaster
2015-09-15,20.8,Rock N Rollercoaster
2015-09-16,25.0,Rock N Rollercoaster
2015-09-17,16.75,Rock N Rollercoaster
2015-09-18,43.0,Rock N Rollercoaster
2015-09-19,15.0,Rock N Rollercoaster
2015-09-20,15.0,Rock N Rollercoaster
2015-09-21,27.2,Rock N Rollercoaster
2015-09-22,27.0,Rock N Rollercoaster
2015-09-23,25.666666666666668,Rock N Rollercoaster
2015-09-24,16.0,Rock N Rollercoaster
2015-09-25,54.5,Rock N Rollercoaster
2015-09-26,15.333333333333334,Rock N Rollercoaster
2015-09-27,13.666666666666666,Rock N Rollercoaster
2015-09-28,28.0,Rock N Rollercoaster
2015-09-29,15.285714285714286,Rock N Rollercoaster
2015-09-30,28.666666666666668,Rock N Rollercoaster
2015-10-01,21.0,Rock N Rollercoaster
2015-10-02,24.5,Rock N Rollercoaster
2015-10-03,17.5,Rock N Rollercoaster
2015-10-04,21.75,Rock N Rollercoaster
2015-10-05,21.0,Rock N Rollercoaster
2015-10-06,10.0,Rock N Rollercoaster
2015-10-07,13.0,Rock N Rollercoaster
2015-10-08,27.75,Rock N Rollercoaster
2015-10-09,,Rock N Rollercoaster
2015-10-10,70.5,Rock N Rollercoaster
2015-10-11,,Rock N Rollercoaster
2015-10-12,36.0,Rock N Rollercoaster
2015-10-13,34.5,Rock N Rollercoaster
2015-10-14,,Rock N Rollercoaster
2015-10-15,34.2,Rock N Rollercoaster
2015-10-16,25.75,Rock N Rollercoaster
2015-10-17,37.4,Rock N Rollercoaster
2015-10-18,13.5,Rock N Rollercoaster
2015-10-19,23.5,Rock N Rollercoaster
2015-10-20,26.833333333333332,Rock N Rollercoaster
2015-10-21,21.333333333333332,Rock N Rollercoaster
2015-10-22,15.25,Rock N Rollercoaster
2015-10-23,28.25,Rock N Rollercoaster
2015-10-24,17.5,Rock N Rollercoaster
2015-10-25,42.0,Rock N Rollercoaster
2015-10-26,32.5,Rock N Rollercoaster
2015-10-27,37.5,Rock N Rollercoaster
2015-10-28,25.5,Rock N Rollercoaster
2015-10-29,24.0,Rock N Rollercoaster
2015-10-30,19.333333333333332,Rock N Rollercoaster
2015-10-31,14.2,Rock N Rollercoaster
2015-11-01,8.0,Rock N Rollercoaster
2015-11-02,29.666666666666668,Rock N Rollercoaster
2015-11-03,47.333333333333336,Rock N Rollercoaster
2015-11-04,12.6,Rock N Rollercoaster
2015-11-05,16.5,Rock N Rollercoaster
2015-11-06,14.0,Rock N Rollercoaster
